City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather,Country,Date
367,Muisne,0.6,-80.03,84.2,74,75,6.93,broken clouds,EC,2020-11-29 16:48:13
368,Padang,-0.95,100.35,77.4,73,14,3.2,few clouds,ID,2020-11-29 16:48:13
369,Sibolga,1.74,98.78,76.62,82,80,2.89,broken clouds,ID,2020-11-29 16:44:25
370,Tra Vinh,9.93,106.35,74.32,91,70,6.71,broken clouds,VN,2020-11-29 16:48:13
371,Srandakan,-7.94,110.25,74.1,87,100,3.09,light rain,ID,2020-11-29 16:48:13
372,Krasnyy Chikoy,50.36,108.75,6.66,91,100,4.0,overcast clouds,RU,2020-11-29 16:48:13
373,Elizabeth City,36.29,-76.25,62.01,63,1,6.93,clear sky,US,2020-11-29 16:48:13
374,Songea,-10.68,35.65,64.4,93,75,5.82,thunderstorm with rain,TZ,2020-11-29 16:48:14
375,Lookan,5.04,120.1,82.08,75,100,0.45,overcast clouds,PH,2020-11-29 16:48:14
376,Longhua,23.61,114.19,54.3,68,83,4.59,broken clouds,CN,2020-11-29 16:48:14
377,De Aar,-30.65,24.01,79.81,16,0,7.05,clear sky,ZA,2020-11-29 16:48:13
378,Tuatapere,-46.13,167.68,53.01,88,100,1.01,light rain,NZ,2020-11-29 16:48:14
379,Covington,39.08,-84.51,51.01,61,40,6.93,scattered clouds,US,2020-11-29 16:48:14
380,Kushima,31.46,131.23,47.71,74,12,6.55,few clouds,JP,2020-11-29 16:48:14
381,Yerbogachen,61.28,108.01,-5.28,91,93,6.26,overcast clouds,RU,2020-11-29 16:48:14
382,Sayyan,15.17,44.32,57.63,51,65,5.61,broken clouds,YE,2020-11-29 16:48:14
383,Berdyaush,55.16,59.15,14.38,92,0,1.21,clear sky,RU,2020-11-29 16:48:15
384,Matagami,49.75,-77.63,26.6,86,90,3.36,overcast clouds,CA,2020-11-29 16:44:13
385,Fuerte,17.54,120.36,79.47,72,3,14.9,clear sky,PH,2020-11-29 16:48:15
386,Saint-Francois,46.42,3.91,37.99,86,90,6.93,overcast clouds,FR,2020-11-29 16:48:15
387,Iquique,-20.22,-70.14,71.6,60,0,16.11,clear sky,CL,2020-11-29 16:36:22
388,Lumeje,-11.55,20.78,73.38,76,45,5.08,light rain,AO,2020-11-29 16:48:15
389,Paamiut,61.99,-49.67,28.71,88,83,14.45,broken clouds,GL,2020-11-29 16:38:31
390,Port Lincoln,-34.73,135.87,59.0,81,43,13.85,scattered clouds,AU,2020-11-29 16:48:15
391,San Andres,12.58,-81.7,84.2,79,75,9.17,shower rain,CO,2020-11-29 16:48:15
392,Cairns,-16.92,145.77,77.0,83,75,2.24,broken clouds,AU,2020-11-29 16:48:15
393,Cholet,47.17,-1.0,48.0,77,0,10.98,clear sky,FR,2020-11-29 16:48:16
394,Zilair,52.23,57.44,18.93,97,100,2.24,overcast clouds,RU,2020-11-29 16:48:16
395,Leeton,-34.57,146.4,55.4,62,0,4.7,clear sky,AU,2020-11-29 16:48:16
396,Humaita,-7.51,-63.02,91.85,52,58,3.91,broken clouds,BR,2020-11-29 16:48:16
397,Bengkulu,-3.8,102.27,75.43,84,90,5.21,light rain,ID,2020-11-29 16:48:16
398,Hoganas,56.2,12.56,32.0,86,75,4.7,broken clouds,SE,2020-11-29 16:45:25
399,Galle,6.04,80.22,79.18,80,97,0.92,overcast clouds,LK,2020-11-29 16:48:16
400,Bathurst,-33.42,149.58,57.0,86,18,6.26,few clouds,AU,2020-11-29 16:43:50
401,Krasnoborsk,61.56,45.93,16.84,96,90,5.66,overcast clouds,RU,2020-11-29 16:48:17
402,Mookane,-23.69,26.66,86.94,30,84,4.74,broken clouds,BW,2020-11-29 16:48:17
403,Ixtapa,20.7,-105.2,77.0,65,5,3.27,clear sky,MX,2020-11-29 16:38:41
404,Portland,45.52,-122.68,42.01,93,90,1.79,fog,US,2020-11-29 16:47:21
405,La Rioja,42.25,-2.5,57.2,67,0,1.12,clear sky,ES,2020-11-29 16:37:27
