City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
111,Puerto Ayora,EC,2020-11-28 04:44:26,-0.74,-90.35,70.0,91,77,8.01
112,Mandalgovi,MN,2020-11-28 04:51:46,45.76,106.27,10.54,88,97,5.26
113,Upernavik,GL,2020-11-28 04:44:59,72.79,-56.15,1.65,77,0,9.53
114,Palanga,LT,2020-11-28 04:44:37,55.92,21.07,30.2,100,40,4.7
115,Chuy,UY,2020-11-28 04:45:09,-33.7,-53.46,63.48,92,16,9.86
116,Constitucion,CL,2020-11-28 04:44:31,-35.33,-72.42,52.79,82,0,11.27
117,Rocha,UY,2020-11-28 04:44:56,-34.48,-54.33,59.31,96,2,9.55
118,Coffs Harbour,AU,2020-11-28 04:51:46,-30.3,153.13,96.01,61,41,25.28
119,Pochutla,MX,2020-11-28 04:51:47,15.74,-96.47,74.23,81,24,3.0
120,New Norfolk,AU,2020-11-28 04:44:26,-42.78,147.06,78.01,32,72,1.99
121,Chumikan,RU,2020-11-28 04:50:16,54.72,135.31,7.27,88,99,17.69
122,Flinders,AU,2020-11-28 04:45:13,-34.58,150.86,102.99,14,62,19.46
123,Torbay,CA,2020-11-28 04:44:58,47.67,-52.73,50.0,100,90,18.34
124,Kununurra,AU,2020-11-28 04:44:32,-15.77,128.73,89.6,52,76,16.11
125,Jamestown,US,2020-11-28 04:41:32,42.1,-79.24,41.0,86,90,5.82
126,Hobart,AU,2020-11-28 04:41:12,-42.88,147.33,78.01,37,0,10.29
127,Plettenberg Bay,ZA,2020-11-28 04:49:13,-34.05,23.37,62.91,74,100,2.71
128,Beringovskiy,RU,2020-11-28 04:45:22,63.05,179.32,17.29,97,79,14.09
129,Dumai,ID,2020-11-28 04:50:33,1.68,101.45,82.78,85,100,1.45
130,Beisfjord,NO,2020-11-28 04:51:48,68.38,17.6,27.0,97,99,7.0
131,Muli,MV,2020-11-28 04:51:48,2.92,73.57,82.85,68,57,5.46
132,Marzuq,YE,2020-11-28 04:51:48,14.4,46.47,67.95,60,0,1.5
133,Asosa,ET,2020-11-28 04:50:27,10.07,34.53,67.87,34,6,7.49
134,Tasiilaq,GL,2020-11-28 04:44:36,65.61,-37.64,15.8,47,32,26.4
135,Isla Mujeres,MX,2020-11-28 04:51:48,21.23,-86.73,79.0,73,75,4.7
136,Cherskiy,RU,2020-11-28 04:44:32,68.75,161.3,1.47,90,19,6.04
137,Lavrentiya,RU,2020-11-28 04:45:15,65.58,-171.0,25.09,93,87,10.69
